libMagickCore-6.Q16.so.3.0.0,libMagickWand-6.Q16.so.3.0.0,libc-2.27.so,liblcms2.so.2.0.8,liblqr-1.so.0.3.2,libfftw3.so.3.5.7,libfontconfig.so.1.10.1,libfreetype.so.6.15.0,libXext.so.6.4.0,libX11.so.6.3.0,libbz2.so.1.0.4,libz.so.1.2.11,libltdl.so.7.3.1,libm-2.27.so,libgomp.so.1.0.0,libgcc_s.so.1,libpthread-2.27.so,libglib-2.0.so.0.5600.4,libexpat.so.1.6.7,libpng16.so.16.34.0,libxcb.so.1.1.0,libdl-2.27.so,libpcre.so.3.13.3,libXau.so.6.0.0,libXdmcp.so.6.0.0,libbsd.so.0.8.7,librt-2.27.so,png.so,tiff.so,libtiff.so.5.3.0,liblzma.so.5.2.2,libjbig.so.0,libjpeg.so.8.1.2,wmf.so,libwmflite-0.2.so.7.0.1,jpeg.so,exr.so,libIlmImf-2_2.so.22.0.0,libHalf.so.12.0.0,libIex-2_2.so.12.0.0,libIlmThread-2_2.so.12.0.0,libstdc++.so.6.0.25,djvu.so,libdjvulibre.so.21.6.0,svg.so,libxml2.so.2.9.4,libicuuc.so.60.2,libicudata.so.60.2,mvg.so,bmp.so
1217,795,1009,600,526,1026,581,692,530,824,528,542,522,926,559,536,543,791,562,562,552,516,626,516,518,533,520,550,538,631,550,526,616,523,542,524,516,1220,579,542,519,905,516,914,528,961,952,7081,515,521
789,580,1009,600,526,1026,581,692,530,824,528,542,522,926,559,536,543,791,562,562,552,516,626,516,518,533,520,550,538,631,550,526,616,-1,-1,-1,516,1220,579,542,519,905,516,914,528,961,952,7081,515,-1
1217,795,1009,600,526,1026,581,692,530,824,528,542,522,926,559,536,543,791,562,562,552,516,626,516,518,533,520,550,-1,-1,550,-1,616,-1,-1,-1,-1,-1,-1,-1,-1,905,-1,-1,-1,-1,-1,-1,-1,-1
789,580,1009,600,526,1026,581,692,530,824,528,542,522,926,559,536,543,791,562,562,552,516,626,516,518,533,520,550,-1,-1,550,-1,616,-1,-1,-1,-1,-1,-1,-1,-1,905,-1,-1,-1,-1,-1,-1,-1,-1
789,580,1009,600,526,1026,581,692,530,824,528,542,522,926,559,536,543,791,562,562,552,516,626,516,518,533,520,550,-1,-1,-1,-1,616,-1,-1,-1,-1,-1,-1,-1,-1,905,-1,-1,-1,-1,-1,-1,-1,-1
789,580,1009,600,526,1026,581,692,530,824,528,542,522,926,559,536,543,791,562,562,552,516,626,516,518,533,520,550,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,905,-1,-1,-1,-1,-1,-1,-1,-1
789,580,1009,600,526,1026,581,692,530,824,528,542,522,926,559,536,543,791,562,562,552,516,626,516,518,533,520,550,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
789,580,1009,600,526,1026,581,692,530,824,528,542,522,926,559,536,543,791,562,562,552,516,626,516,518,533,520,550,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
789,580,1009,600,526,1026,581,692,530,824,528,542,522,926,559,536,543,791,562,562,552,516,626,516,518,533,520,550,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
789,580,1009,600,526,1026,581,692,530,824,528,542,522,926,559,536,543,791,562,562,552,516,626,516,518,533,520,550,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1217,795,1009,600,526,1026,581,692,530,824,528,542,522,926,559,536,543,791,562,562,552,516,626,516,518,533,520,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
789,580,1009,600,526,1026,581,692,530,824,528,542,522,926,559,536,543,791,562,562,552,516,626,516,518,533,520,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
789,580,1009,600,526,1026,581,692,530,824,528,542,522,926,559,536,543,791,562,562,552,516,626,516,518,533,520,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
